100  150  129.625
150  200  38.7082
200  250  14.4725
250  300  6.33908
300  350  3.05557
350  400  1.56644
400  450  0.870079
450  500  0.52265
500  550  0.303749
550  600  0.194801
600  650  0.12401
650  700  0.0933841
700  750  0.0527169
750  800  0.0416714
800  850  0.0296218
850  900  0.0220909
900  950  0.0135558
950  1000  0.00552272
